0 0
(1) 11_2_15848
Ic 12_1_11
(2) 12_2_29187
(3) 12_2_32449
(4) 14_2_48453
XVII 144_2_7301
(5) 151_2_4949650
(6) 15_2_201714
(7) 152_2_118474
(8) 153_2_155471
(9) 169_2_10608
(10) 169_2_7915
(11) 176_2_5256
(12) 20_2_26425
(13) 20_2_28176
(14) 207_1_4435
(15) 2_2_342692
Ih,XI 2_2_623457
(16) 53_3_726600
(17) 58_2_511
(18) 61_2_8842
(19) 67_2_1444
(20) 67_2_1563
(21) 84_2_1419
(22) 91_2_8335121
(23) ACO
(24) BSV
(25) DDR
sH DOH
II II
i i
(26) IRR
(27) IWV
III,IX IX
(28) LTA
sII MTN
(29) NON
(30) PCOD8007225
(31) PCOD8036144
(32) PCOD8045578
(33) PCOD8047078
(34) PCOD8047931
(35) PCOD8172143
(36) PCOD8301974
(37) PCOD8321499
(38) PCOD8324623
(39) SGT
VII,VIII VIII
VI,XV VI
V,XIII XIII
XII,XIV XIV
VI,XV XV
IV IV
