# name molarv[A^3/h2o] rho[g/cm3] lattice_energy[eV/h2O]
0 2.65099553e+01 1.12749 -469.549
11_2_15848 2.64785181e+01 1.12883 -469.585
115_2_114 3.39906070e+01 0.879352 -469.606
12_1_11 3.26164600e+01 0.916399 -469.618
12_2_29187
12_2_32449 2.29113205e+01 1.30458 -469.549
14_2_48453 
144_2_7301 3.50987954e+01 0.851588 -469.604
151_2_4949650 2.19007827e+01 1.36478 -469.572
15_2_201714 2.80903876e+01 1.06405 -469.583
152_2_118474 2.21628633e+01 1.34864 -469.561
153_2_155471 2.81952496e+01 1.0601 -469.598
169_2_10608 3.36067335e+01 0.889396 -469.594
169_2_7915 5.12146691e+01 0.583616 -469.488
176_2_5256 4.00008017e+01 0.747228 -469.573
20_2_26425 2.43956683e+01 1.22521 -469.525
20_2_28176 
207_1_4435 3.96293943e+01 0.754231 -469.587
2_2_342692 2.27450865e+01 1.31412 -469.533
2_2_623457 3.22824936e+01 0.92588 -469.615
53_3_726600 2.42172752e+01 1.23423 -469.516
58_2_511 2.99447102e+01 0.998163 -469.565
61_2_8842 2.90487956e+01 1.02895 -469.589
67_2_1444 2.35849627e+01 1.26732 -469.521
67_2_1563 2.43633835e+01 1.22683 -469.549
84_2_1419 2.94419463e+01 1.01521 -469.568
91_2_8335121 2.37919392e+01 1.2563 -469.519
ACO 4.03093125e+01 0.741509 -469.564
BSV 4.60422932e+01 0.649179 -469.489
DDR 2.74426487e+01 1.08917 -469.555
DOH 3.80094080e+01 0.786376 -469.599
II 2.46825573e+01 1.21096 -469.603
i 3.46749096e+01 0.861998 -469.607
IRR 2.83098060e+01 1.05581 -469.538
IWV 4.70009348e+01 0.635938 -469.561
IX 2.63701036e+01 1.13347 -469.599
LTA 2.47939964e+01 1.20552 -469.546
MAR
MTN 4.01949339e+01 0.743619 -469.575
NON 3.80962993e+01 0.784583 -469.594
PCOD8007225 2.71016716e+01 1.10287 -469.589
PCOD8036144 2.74885629e+01 1.08735 -469.586
PCOD8045578 2.84976525e+01 1.04885 -469.565
PCOD8047078 2.21409999e+01 1.34997 -469.534
PCOD8047931 2.41947860e+01 1.23538 -469.544
PCOD8172143 2.83172007e+01 1.05553 -469.6
PCOD8204698 2.82798233e+01 1.05693 -469.582
PCOD8301974 2.67503280e+01 1.11736 -469.583
PCOD8321499 3.10266924e+01 0.963354 -469.592
PCOD8324623 2.89055142e+01 1.03405 -469.584
SGT 4.01848181e+01 0.743806 -469.584
VIII
VI 2.16561126e+01 1.3802 -469.586
XIII 2.34540743e+01 1.27439 -469.592
X
XIV 2.23957744e+01 1.33461 -469.586
XV 2.13088406e+01 1.40269 -469.586
IV 2.08023109e+01 1.43685 -469.587
