# name molar_v[A^3] rho[g/cm3] Elatt[eV/H2O]
0 26.6597284736806 1.12116 -469.542
11_2_15848 24.7349948460693 1.2084 -469.578
115_2_114 33.776885045423 0.884916 -469.595
12_1_11 31.7017687464327 0.94284 -469.61
12_2_29187 23.5728400755744 1.26797 -469.511
12_2_32449 24.4592867975509 1.22202 -469.54
14_2_48453 30.8027223297295 0.970359 -469.591
144_2_7301 34.8139722290547 0.858555 -469.586
151_2_4949650 22.999759166456 1.29957 -469.555
15_2_201714 27.0755264704083 1.10394 -469.58
152_2_118474 24.5469013290409 1.21766 -469.544
153_2_155471 27.7760317716011 1.0761 -469.592
169_2_10608 33.2503865582588 0.898928 -469.579
169_2_7915 52.5582792102988 0.568696 -469.468
176_2_5256 40.4348195683399 0.739207 -469.55
20_2_26425 25.3895911305871 1.17724 -469.504
20_2_28176 22.2786893330327 1.34163 -469.502
207_1_4435 40.1972473110409 0.743576 -469.57
2_2_342692 25.134190538745 1.1892 -469.499
2_2_623457 31.7377495475959 0.941771 -469.607
53_3_726600 25.7892293825656 1.159 -469.508
58_2_511 29.1857301063779 1.02412 -469.559
61_2_8842 28.4658515343399 1.05002 -469.583
67_2_1444 26.0326677282873 1.14816 -469.484
67_2_1563 24.4653430997412 1.22172 -469.541
84_2_1419 27.9922786505878 1.06778 -469.562
91_2_8335121 24.8466813896703 1.20297 -469.493
ACO 40.6056167006547 0.736098 -469.543
BSV 46.856445326177 0.637899 -469.467
DDR 27.1199378078524 1.10213 -469.542
DOH 37.9949844038985 0.786675 -469.578
II 24.8453287330325 1.20303 -469.598
i 33.7768845622068 0.884916 -469.595
IRR 27.8825774539865 1.07198 -469.53
IWV 47.7667983010915 0.625742 -469.546
IX 25.9505906329179 1.15179 -469.59
LTA 26.5730054358692 1.12481 -469.526
MAR 40.6881108257579 0.734605 -469.556
MTN 40.6881108257579 0.734605 -469.556
NON 37.077313972438 0.806145 -469.575
PCOD8007225 26.8695171269254 1.1124 -469.58
PCOD8036144 26.3379253648755 1.13485 -469.575
PCOD8045578 28.274210190466 1.05714 -469.554
PCOD8047078 27.0732222222355 1.10403 -469.541
PCOD8047931 25.2773282361286 1.18247 -469.529
PCOD8172143 28.2934419941433 1.05642 -469.594
PCOD8204698 27.87874636602 1.07213 -469.581
PCOD8301974 25.9534361500352 1.15167 -469.574
PCOD8321499 30.3723408874841 0.984109 -469.585
PCOD8324623 28.9071583679808 1.03399 -469.576
SGT 40.4733485890419 0.738503 -469.564
VIII 21.9823426127839 1.35971 -469.532
VI 23.3063747279728 1.28247 -469.579
XIII 23.6819286718807 1.26213 -469.584
X
XIV 23.1124307838599 1.29323 -469.574
XV 23.3057549917001 1.2825 -469.579
IV 23.1024011835269 1.29379 -469.566
