# name molar_volume[A^3] density[g/ml] lattice_energy[eV/H2O]
0 24.86500000 1.20207935 -18.92650000
11_2_15848 22.87400000 1.30671081 -18.97850000
115_2_114
12_1_11
12_2_29187 20.64700000 1.44765356 -18.92120000
12_2_32449 22.94000000 1.30295131 -18.91010000
14_2_48453 27.40800000 1.09054667 -18.96000000
144_2_7301 32.64200000 0.91568234 -18.98440000
151_2_4949650 21.25600000 1.40617722 -18.95560000
15_2_201714 25.68800000 1.16356676 -18.97630000
152_2_118474 22.01100000 1.35794389 -18.93470000
153_2_155471 26.01200000 1.14907362 -18.98140000
169_2_10608 31.29100000 0.95521725 -18.96590000
169_2_7915 47.42300000 0.63027862 -18.87110000
176_2_5256 37.22800000 0.80288232 -18.96370000
20_2_26425 24.31800000 1.22911847 -18.89800000
20_2_28176 18.67800000 1.60026250 -18.93210000
207_1_4435 37.62000000 0.79451629 -18.96270000
2_2_342692 22.09500000 1.35278131 -18.91670000
2_2_623457 30.05000000 0.99466566 -18.98840000
53_3_726600 21.99100000 1.35917889 -18.90550000
58_2_511 27.74300000 1.07737819 -18.94980000
61_2_8842 26.84300000 1.11350084 -18.96670000
67_2_1444 22.06000000 1.35492761 -18.91910000
67_2_1563 23.14900000 1.29118765 -18.93430000
84_2_1419 26.45300000 1.12991733 -18.95390000
91_2_8335121 22.78500000 1.31181492 -18.90070000
ACO 39.25900000 0.76134652 -18.92370000
BSV 43.19650000 0.69194733 -18.86080000
DDR 25.39800000 1.17685263 -18.94650000
DOH 35.31300000 0.84642208 -18.98260000
II 23.78500000 1.25666189 -18.98200000
i 31.90800000 0.93674636 -18.97890000
IRR 26.21800000 1.14004512 -18.91290000
IWV 44.65100000 0.66940725 -18.93890000
IX 24.01200000 1.24478190 -18.98280000
LTA
MAR
MTN
NON 34.31200000 0.87111515 -18.99010000
PCOD8007225 25.32100000 1.18043138 -18.97760000
PCOD8036144 24.90100000 1.20034147 -18.96990000
PCOD8045578 25.93300000 1.15257406 -18.95680000
PCOD8047078 25.53200000 1.17067613 -18.93720000
PCOD8047931 23.40600000 1.27701030 -18.92670000
PCOD8172143 26.43500000 1.13068670 -18.99280000
PCOD8204698
PCOD8301974 24.94600000 1.19817618 -18.98850000
PCOD8321499 28.41100000 1.05204685 -18.98510000
PCOD8324623 26.92400000 1.11015091 -18.98100000
SGT 37.41600000 0.79884817 -18.96550000
VIII 24.06300000 1.24214366 -18.65960000
VI 21.02000000 1.42196494 -18.96710000
XIII 22.08070000 1.35365740 -19.00360000
X
XIV 21.51600000 1.38918493 -18.96990000
XV 21.02100000 1.42189729 -18.96710000
IV
